file,module_count,first_id,last_id
sleep.csv,100,SLP-001,SLP-100
stress.csv,150,STR-001,STR-150
lifestyle.csv,150,LIF-001,LIF-150
healthy_aging.csv,150,AGE-001,AGE-150
disease_prevention.csv,250,DIS-001,DIS-250
womens_health.csv,125,WOM-001,WOM-125
mens_health.csv,100,MEN-001,MEN-100
children.csv,100,CHD-001,CHD-100
supplements.csv,200,SUP-001,SUP-200
laboratory_tests.csv,150,LAB-001,LAB-150
medications.csv,150,MED-001,MED-150
medical_conditions.csv,300,COND-001,COND-300
behavior_change.csv,125,BEH-001,BEH-125
faq.csv,200,FAQ-001,FAQ-200
meal_planning.csv,100,MEA-001,MEA-100
exercise_programs.csv,100,PROG-001,PROG-100
case_studies.csv,100,CASE-001,CASE-100
